# step total l_xy l_wh l_obj l_noobj l_cls mAP
Epoch 1 mAP:3.459798e-02total:95.6799 l_xy:9.8120 l_wh:42.8227 l_obj:1.9635 l_noobj:3.7060 l_cls:37.3758
Epoch 2 mAP:3.165992e-02total:80.5123 l_xy:9.2501 l_wh:34.4128 l_obj:1.7968 l_noobj:3.3983 l_cls:31.6542
Epoch 3 mAP:3.274516e-02total:70.0163 l_xy:8.7571 l_wh:29.4310 l_obj:1.6367 l_noobj:3.1339 l_cls:27.0577
Epoch 4 mAP:4.924549e-02total:60.8667 l_xy:8.2919 l_wh:25.3497 l_obj:1.4663 l_noobj:2.8969 l_cls:22.8620
Epoch 5 mAP:5.515732e-02total:52.6699 l_xy:7.8414 l_wh:21.8133 l_obj:1.3330 l_noobj:2.6694 l_cls:19.0128
Epoch 6 mAP:7.263829e-02total:46.4421 l_xy:7.4109 l_wh:19.4837 l_obj:1.3415 l_noobj:2.5743 l_cls:15.6317
Epoch 7 mAP:1.027921e-01total:41.3875 l_xy:7.0077 l_wh:17.9221 l_obj:1.2948 l_noobj:2.4558 l_cls:12.7071
Epoch 8 mAP:1.105357e-01total:36.8399 l_xy:6.6291 l_wh:16.5640 l_obj:1.1139 l_noobj:2.2619 l_cls:10.2709
Epoch 9 mAP:1.030579e-01total:31.9752 l_xy:6.2264 l_wh:14.7306 l_obj:1.0293 l_noobj:2.0406 l_cls:7.9483
Epoch 10 mAP:1.167266e-01total:28.5359 l_xy:5.8744 l_wh:13.4288 l_obj:0.9674 l_noobj:1.9583 l_cls:6.3070
Epoch 11 mAP:1.830396e-01total:26.2908 l_xy:5.5483 l_wh:12.7073 l_obj:1.0163 l_noobj:1.8669 l_cls:5.1520
Epoch 12 mAP:1.880029e-01total:23.3844 l_xy:5.1880 l_wh:11.5715 l_obj:0.9795 l_noobj:1.7469 l_cls:3.8985
